eventId,sourceSymbol,eventDate,mappedCik,mappingConfidence,companyName,datasetOrigin,actorFamily,stage2SealRole,trainingEligible,windowStart,windowEnd,edgarLogAvailable
ABUJUDEH_CPMD_DATE_RECOVERY,CPMD,2020-07-02,1081938,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2020-06-22,2020-07-07,1
AHUJA_BDTX_20230621,BDTX,2023-06-27,1701541,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2023-06-17,2023-07-02,1
AHUJA_URGN_20230711,URGN,2023-07-27,1668243,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2023-07-17,2023-08-01,1
AHUJA_XFOR_PIPE_20220630,XFOR,2022-06-30,1501697,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2022-06-20,2022-07-05,1
AHUJA_XFOR_TRIAL_20230412,XFOR,2023-05-16,1501697,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2023-05-06,2023-05-21,1
ATLAS_ABVC,ABVC,2021-08-23,1173313,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2021-08-13,2021-08-28,1
BECK_MYLI,TMGI,2019-10-10,1434601,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2019-09-30,2019-10-15,0
BHARDWAJ_COHR_20210101,COHR,2021-01-19,820318,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2021-01-09,2021-01-24,1
CLEU_2025,CLEU,2024-12-24,,UNRESOLVED,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2024-12-14,2024-12-29,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_AAL_20080716,AAL,2008-07-16,6201,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2008-07-06,2008-07-21,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_AAL_20100525,AAL,2010-05-25,6201,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2010-05-15,2010-05-30,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_ABBV_20151030,ABBV,2015-10-30,1551152,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2015-10-20,2015-11-04,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_ABBV_20201030,ABBV,2020-10-30,1551152,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2020-10-20,2020-11-04,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_ABVC_20070613,ABVC,2007-06-13,1173313,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2007-06-03,2007-06-18,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_ABVC_20080903,ABVC,2008-09-03,1173313,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2008-08-24,2008-09-08,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_AMPE_20100310,AMPE,2010-03-10,1411906,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2010-02-28,2010-03-15,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_AMPE_20110419,AMPE,2011-04-19,1411906,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2011-04-09,2011-04-24,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_AMS_20090313,AMS,2009-03-13,744825,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2009-03-03,2009-03-18,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_AMS_20130515,AMS,2013-05-15,744825,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2013-05-05,2013-05-20,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_AREC_20180301,AREC,2018-03-01,1590715,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2018-02-19,2018-03-06,0
CONTROL_FILING_ALIGNED_SURGE_CONTROL_AREC_20201007,AREC,2020-10-07,1590715,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2020-09-27,2020-10-12,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_ATOS_20140522,ATOS,2014-05-22,1488039,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2014-05-12,2014-05-27,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_ATOS_20230523,ATOS,2023-05-23,1488039,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2023-05-13,2023-05-28,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_BABA_20250829,BABA,2025-08-29,1577552,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2025-08-19,2025-09-03,0
CONTROL_FILING_ALIGNED_SURGE_CONTROL_BABA_20260708,BABA,2026-07-08,1577552,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2026-06-28,2026-07-13,0
CONTROL_FILING_ALIGNED_SURGE_CONTROL_BEN_19991022,BEN,1999-10-22,38777,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,1999-10-12,1999-10-27,0
CONTROL_FILING_ALIGNED_SURGE_CONTROL_BEN_20211101,BEN,2021-11-01,38777,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2021-10-22,2021-11-06,1
CONTROL_FILING_ALIGNED_SURGE_CONTROL_BNGO_20191016,BNGO,2019-10-16,1411690,HIGH,,V19_V20_DEVELOPMENT,,DEVELOPMENT_OR_PRIOR_SEAL,1,2019-10-06,2019-10-21,0
